title,inventors,patent_number,date,notes
一种用于鉴定中国荷斯坦牛乳房炎抗性的引物组合、方法及应用,俞英;达日格日乐;唐永杰;周月玲;文惠;李文龙;肖炜;张毅;任永红;田茜茜;王景艳,ZL 202111136727.9,2026/1/5,历经5年获批
一种牛乳房炎抗性和早期胚胎性别同检方法及其试剂盒,俞英;杨志攀;张奇;陶欣月;李树静;余文莉,ZL 202411227699.5,2025/8/1,
一种预测中国荷斯坦牛乳房炎发病风险的系统,俞英;李文龙;史良玉;李锡智;肖炜;刘林;张毅;王雅春,ZL 202010528636.9,2022/10/1,2020年6月11日申请，2022年10月授权；力争成果能转让
一种基于LGR5基因多态性检测奶牛副乳头发生风险的方法,俞英;文惠;杨梦友;米思远;张毅;肖炜;刘雪琴;王雅春,ZL 201911129022.7,2021/5/24,2019年11月19日申请，2021年5月24日授权
一种与奶牛乳房炎抗性相关的CNV片段及其应用,俞英;董易春;王晓,ZL 201610221988.3,2019/3/1,2016年4月11日申请，2019年3月授权；TRAPPC9拷贝数变异
一种提高围产期奶牛免疫力和产奶量的方法,俞英;张志超;王雅春;郭刚;李锡志;董刚辉;刘刚;黄烁;陈思倩;王倩倩,ZL 201610299813.8,2018/11/1,2016年9月21日申请，2018年11月授权
一种与中国荷斯坦奶牛金葡菌乳房炎抗性相关的SNP标记及其应用,俞英;冯文;王晓;董易春,ZL 201510021533.2,2017/8/8,2015年1月15日申请，2017年8月8日授权；TRAPPC9 SNP变异
与奶牛乳脂率性状相关的分子标记及其应用,俞英;董易春;王晓;刘超,ZL 201410116914.4,2016/2/10,2022年起不再缴费，可以申请标准
一种检测奶牛乳房炎抗性的DNA甲基化的分子标记,俞英;王晓铄;王雅春;孙东晓;张毅;张胜利;张沅,ZL 201310199086.0,2014/7/30,2013年5月23日申请，2014年7月30日授权；CD4基因甲基化；2024年起不再缴费，申请标准
辅助鉴别具有不同产奶性状的奶牛的方法及其专用引物对,张沅;何阳花;俞英;王雅春;孙东晓;张毅,ZL 201010242552.5,,2019年起不再缴费
